电芯编号,材料体系,标称容量_Ah,测试荷电状态_SOC,稳态电压_U0_V,充电内阻_Rdc_chg_ohm,放电内阻_Rdc_dis_ohm,倍率敏感内阻差_dRdc_ohm,持续极化电压_eta_V,充放电不对称度_asym,撤载松弛电压_relax_V,当前放电容量_Q_dis_Ah,库仑效率_CE,能量效率_EE,平均放电电压_V_mean_dis_V,平均电压滞后_V_hyst_V,参考实测SOH_pct,参考恢复容量_Ah
BAT-2026-RET-018,磷酸铁锂(LFP),35.0,50,3.3132,0.01347,0.01393,-0.00263,-0.0237,0.0168,0.0455,29.508,0.9903,0.9103,3.2419,0.1465,84.31,3.545
BAT-2026-RET-019,磷酸铁锂(LFP),35.0,50,3.304,0.014675,0.014494,-0.003491,-0.0286,-0.0062,0.0455,25.06,0.9683,0.8991,3.2188,0.1547,71.6,3.264
BAT-2026-RET-020,磷酸铁锂(LFP),35.0,50,3.3078,0.014554,0.015247,-0.003648,-0.0281,0.0233,0.0473,24.997,0.9716,0.9079,3.2292,0.1381,71.42,4.031
BAT-2026-RET-021,磷酸铁锂(LFP),35.0,50,3.3,0.013909,0.015052,-0.003614,-0.031,0.0395,0.0529,23.944,0.9714,0.8931,3.2242,0.145,68.41,4.752
BAT-2026-RET-022,磷酸铁锂(LFP),35.0,50,3.3225,0.014061,0.013814,-0.003148,-0.0251,-0.0089,0.0473,30.153,0.9773,0.9111,3.2394,0.1292,86.15,2.931
BAT-2026-RET-023,磷酸铁锂(LFP),35.0,50,3.2621,0.018847,0.019158,-0.004974,-0.0325,0.0082,0.057,16.8,0.9638,0.8761,3.2094,0.2012,48.0,5.659
BAT-2026-RET-024,磷酸铁锂(LFP),35.0,50,3.315,0.013312,0.013132,-0.002822,-0.0238,-0.0068,0.049,29.004,0.9744,0.917,3.2102,0.1393,82.87,3.591
BAT-2026-RET-025,磷酸铁锂(LFP),35.0,50,3.3048,0.014728,0.013958,-0.003294,-0.0281,-0.0268,0.0447,26.98,0.9787,0.9089,3.2299,0.1521,77.09,3.103
BAT-2026-RET-026,磷酸铁锂(LFP),35.0,50,3.3184,0.013187,0.01257,-0.002878,-0.025,-0.024,0.0482,28.898,0.9763,0.9088,3.2275,0.1392,82.57,3.967
BAT-2026-RET-027,磷酸铁锂(LFP),35.0,50,3.319,0.013857,0.014267,-0.002889,-0.0259,0.0146,0.047,28.733,0.977,0.9026,3.2484,0.15,82.09,1.974
BAT-2026-RET-028,磷酸铁锂(LFP),35.0,50,3.3046,0.014953,0.014373,-0.003293,-0.0276,-0.0198,0.0474,24.636,0.9705,0.8967,3.2155,0.1633,70.39,3.863
BAT-2026-RET-029,磷酸铁锂(LFP),35.0,50,3.2921,0.016595,0.016287,-0.003824,-0.0308,-0.0094,0.0489,23.417,0.9734,0.8979,3.2317,0.1559,66.91,3.72
BAT-2026-RET-030,磷酸铁锂(LFP),35.0,50,3.3116,0.014477,0.013594,-0.002655,-0.0259,-0.0315,0.0432,30.455,0.9789,0.9112,3.2239,0.1397,87.01,3.991
BAT-2026-RET-031,磷酸铁锂(LFP),35.0,50,3.3049,0.014645,0.015322,-0.003445,-0.0278,0.0226,0.0496,25.725,0.9758,0.8991,3.2469,0.1551,73.5,3.467
BAT-2026-RET-032,磷酸铁锂(LFP),35.0,50,3.3343,0.013795,0.012963,-0.001762,-0.0241,-0.0311,0.0396,32.064,0.9798,0.9027,3.2297,0.124,91.61,2.734
BAT-2026-RET-033,磷酸铁锂(LFP),35.0,50,3.3181,0.015221,0.014784,-0.003291,-0.0252,-0.0146,0.05,27.175,0.9782,0.9015,3.2259,0.1446,77.64,3.715
BAT-2026-RET-034,磷酸铁锂(LFP),35.0,50,3.2919,0.017232,0.016338,-0.003814,-0.0282,-0.0266,0.0441,22.542,0.969,0.8915,3.2191,0.1591,64.4,4.779
BAT-2026-RET-035,磷酸铁锂(LFP),35.0,50,3.2898,0.01574,0.016454,-0.003612,-0.0285,0.0222,0.0535,22.637,0.9684,0.8902,3.2212,0.1788,64.68,4.406
BAT-2026-RET-036,磷酸铁锂(LFP),35.0,50,3.3251,0.01307,0.012944,-0.002636,-0.0214,-0.0049,0.0447,31.07,0.9846,0.9062,3.2401,0.1419,88.77,1.576
BAT-2026-RET-037,磷酸铁锂(LFP),35.0,50,3.2789,0.016371,0.016334,-0.003604,-0.0319,-0.0011,0.0531,22.265,0.9734,0.8925,3.218,0.17,63.61,4.195
BAT-2026-RET-038,磷酸铁锂(LFP),35.0,50,3.2828,0.017185,0.017669,-0.004432,-0.0309,0.0139,0.0513,20.715,0.9659,0.8848,3.2049,0.1685,59.18,5.34
BAT-2026-RET-039,磷酸铁锂(LFP),35.0,50,3.2941,0.014982,0.015798,-0.003966,-0.0332,0.0265,0.0481,22.901,0.9713,0.8809,3.2182,0.1618,65.43,4.638
BAT-2026-RET-040,磷酸铁锂(LFP),35.0,50,3.3241,0.012579,0.012099,-0.00288,-0.0255,-0.0195,0.0428,29.954,0.9723,0.9009,3.245,0.1505,85.58,2.834
BAT-2026-RET-041,磷酸铁锂(LFP),35.0,50,3.3133,0.015087,0.016098,-0.002674,-0.023,0.0324,0.0377,27.932,0.9745,0.8993,3.226,0.1439,79.8,2.629
BAT-2026-RET-042,磷酸铁锂(LFP),35.0,50,3.292,0.016355,0.015393,-0.00307,-0.0277,-0.0303,0.0479,23.968,0.9768,0.8952,3.2125,0.17,68.48,4.463
BAT-2026-RET-043,磷酸铁锂(LFP),35.0,50,3.29,0.015972,0.015607,-0.004167,-0.0343,-0.0115,0.0516,22.735,0.9711,0.8926,3.2154,0.1601,64.96,3.987
BAT-2026-RET-044,磷酸铁锂(LFP),35.0,50,3.2943,0.01477,0.015296,-0.003548,-0.031,0.0175,0.0486,24.059,0.9723,0.8938,3.2122,0.1529,68.74,4.598
BAT-2026-RET-045,磷酸铁锂(LFP),35.0,50,3.3059,0.013999,0.01384,-0.002819,-0.0244,-0.0057,0.0429,27.688,0.9749,0.8983,3.2303,0.1231,79.11,3.095
BAT-2026-RET-046,磷酸铁锂(LFP),35.0,50,3.2927,0.015941,0.015736,-0.003436,-0.0309,-0.0065,0.0451,25.087,0.9738,0.893,3.2192,0.162,71.68,3.48
BAT-2026-RET-047,磷酸铁锂(LFP),35.0,50,3.3094,0.013568,0.01363,-0.002458,-0.0289,0.0023,0.0414,28.766,0.9784,0.9062,3.2342,0.154,82.19,3.138
BAT-2026-RET-048,磷酸铁锂(LFP),35.0,50,3.3028,0.014072,0.014872,-0.003104,-0.0282,0.0277,0.047,26.441,0.9814,0.9048,3.2221,0.159,75.55,3.355
BAT-2026-RET-049,磷酸铁锂(LFP),35.0,50,3.273,0.017121,0.016469,-0.004318,-0.0364,-0.0194,0.0511,19.512,0.9666,0.8887,3.2224,0.1739,55.75,4.268
BAT-2026-RET-050,磷酸铁锂(LFP),35.0,50,3.3088,0.014185,0.01457,-0.003041,-0.0277,0.0134,0.0476,26.999,0.9827,0.9026,3.2288,0.1438,77.14,2.945
BAT-2026-RET-051,磷酸铁锂(LFP),35.0,50,3.3107,0.01383,0.013272,-0.003036,-0.0261,-0.0206,0.047,28.749,0.9817,0.9035,3.225,0.137,82.14,3.9
BAT-2026-RET-052,磷酸铁锂(LFP),35.0,50,3.3238,0.013879,0.013785,-0.003059,-0.0275,-0.0034,0.0388,29.21,0.9829,0.91,3.2295,0.1421,83.46,2.354
BAT-2026-RET-053,磷酸铁锂(LFP),35.0,50,3.3357,0.011055,0.010718,-0.001957,-0.0206,-0.0155,0.0422,33.775,0.9844,0.9115,3.2245,0.1393,96.5,2.449
BAT-2026-RET-054,磷酸铁锂(LFP),35.0,50,3.3051,0.014118,0.015049,-0.003212,-0.0252,0.0319,0.0411,26.397,0.9798,0.8995,3.221,0.1414,75.42,2.49
BAT-2026-RET-055,磷酸铁锂(LFP),35.0,50,3.3153,0.012658,0.012195,-0.003285,-0.0284,-0.0186,0.0437,28.726,0.9745,0.9049,3.2292,0.131,82.07,3.792
BAT-2026-RET-056,磷酸铁锂(LFP),35.0,50,3.3077,0.013657,0.013374,-0.003428,-0.0303,-0.0105,0.0545,25.569,0.9744,0.8985,3.2236,0.1539,73.05,3.697
BAT-2026-RET-057,磷酸铁锂(LFP),35.0,50,3.2942,0.015675,0.015514,-0.003702,-0.0265,-0.0052,0.0397,24.228,0.9665,0.8892,3.2098,0.1586,69.22,4.242
BAT-2026-RET-058,磷酸铁锂(LFP),35.0,50,3.3003,0.014868,0.015434,-0.003725,-0.0248,0.0187,0.0498,25.254,0.9777,0.9013,3.212,0.1492,72.16,4.197
BAT-2026-RET-059,磷酸铁锂(LFP),35.0,50,3.2921,0.017006,0.016422,-0.00395,-0.0306,-0.0175,0.0499,22.14,0.9752,0.8856,3.2114,0.1566,63.26,3.246
BAT-2026-RET-060,磷酸铁锂(LFP),35.0,50,3.3208,0.010803,0.011015,-0.00293,-0.0216,0.0097,0.0385,31.757,0.9866,0.9022,3.2514,0.1328,90.74,2.616
BAT-2026-RET-061,磷酸铁锂(LFP),35.0,50,3.2993,0.016438,0.015462,-0.003195,-0.0298,-0.0306,0.0517,24.32,0.9793,0.899,3.2155,0.1533,69.49,3.12
BAT-2026-RET-062,磷酸铁锂(LFP),35.0,50,3.2975,0.014993,0.014865,-0.00292,-0.0264,-0.0043,0.0469,26.4,0.9781,0.9087,3.2354,0.1348,75.43,2.752
BAT-2026-RET-063,磷酸铁锂(LFP),35.0,50,3.2964,0.014968,0.016039,-0.00378,-0.0322,0.0345,0.0496,24.063,0.9679,0.891,3.2347,0.1504,68.75,4.47
BAT-2026-RET-064,磷酸铁锂(LFP),35.0,50,3.2921,0.018456,0.01725,-0.004339,-0.0311,-0.0338,0.0487,20.428,0.9687,0.8995,3.2141,0.1792,58.37,4.231
BAT-2026-RET-065,磷酸铁锂(LFP),35.0,50,3.3127,0.013572,0.014146,-0.002747,-0.0267,0.0207,0.0481,25.962,0.9714,0.904,3.2069,0.1601,74.18,2.803
BAT-2026-RET-066,磷酸铁锂(LFP),35.0,50,3.3067,0.01562,0.01506,-0.003211,-0.0261,-0.0182,0.0494,25.346,0.9753,0.8976,3.2068,0.1565,72.42,3.983
BAT-2026-RET-067,磷酸铁锂(LFP),35.0,50,3.3014,0.014177,0.013275,-0.002834,-0.0246,-0.0328,0.0455,26.949,0.9744,0.906,3.2121,0.1516,77.0,2.819
BAT-2026-RET-068,磷酸铁锂(LFP),35.0,50,3.3195,0.01221,0.012582,-0.002253,-0.0237,0.015,0.0465,30.19,0.975,0.9103,3.2407,0.1371,86.26,3.712
BAT-2026-RET-069,磷酸铁锂(LFP),35.0,50,3.3047,0.018319,0.017286,-0.003622,-0.0324,-0.029,0.0423,24.409,0.9703,0.8998,3.2188,0.1499,69.74,3.302
BAT-2026-RET-070,磷酸铁锂(LFP),35.0,50,3.2811,0.015806,0.015364,-0.003463,-0.031,-0.0142,0.0486,22.691,0.973,0.8863,3.2227,0.1635,64.83,4.66
BAT-2026-RET-071,三元锂(NCM),50.0,50,3.3203,0.012993,0.013601,-0.003301,-0.0257,0.0229,0.0438,38.58,0.9744,0.9009,3.2226,0.138,77.16,5.851
BAT-2026-RET-072,三元锂(NCM),50.0,50,3.3195,0.011999,0.012552,-0.002732,-0.0278,0.0225,0.0486,42.073,0.984,0.9043,3.2266,0.1413,84.15,4.761
BAT-2026-RET-073,三元锂(NCM),50.0,50,3.3228,0.013086,0.013358,-0.003212,-0.0241,0.0103,0.042,40.279,0.9747,0.9044,3.2353,0.1348,80.56,1.269
BAT-2026-RET-074,三元锂(NCM),50.0,50,3.2991,0.015909,0.016306,-0.003471,-0.0264,0.0123,0.0501,33.247,0.9705,0.8961,3.231,0.1668,66.49,6.523
BAT-2026-RET-075,三元锂(NCM),50.0,50,3.3239,0.013168,0.013929,-0.00259,-0.0254,0.0281,0.0414,42.157,0.9767,0.9099,3.2348,0.142,84.31,4.186
BAT-2026-RET-076,三元锂(NCM),50.0,50,3.3084,0.014424,0.013393,-0.003681,-0.0261,-0.0371,0.0483,37.266,0.9813,0.8981,3.2269,0.1526,74.53,6.87
BAT-2026-RET-077,三元锂(NCM),50.0,50,3.3045,0.014265,0.015234,-0.003263,-0.0276,0.0328,0.0478,36.812,0.9739,0.8969,3.2205,0.153,73.62,3.564
BAT-2026-RET-078,三元锂(NCM),50.0,50,3.3143,0.013873,0.013094,-0.002999,-0.0242,-0.0289,0.0489,41.689,0.9782,0.9039,3.2488,0.1284,83.38,2.297
BAT-2026-RET-079,三元锂(NCM),50.0,50,3.3075,0.012173,0.013044,-0.00286,-0.0242,0.0346,0.0493,39.274,0.9758,0.8971,3.226,0.1508,78.55,3.703
BAT-2026-RET-080,三元锂(NCM),50.0,50,3.3302,0.011171,0.011676,-0.002887,-0.0202,0.0221,0.0423,44.887,0.9843,0.9135,3.2384,0.1368,89.77,4.368
BAT-2026-RET-081,三元锂(NCM),50.0,50,3.3192,0.014332,0.013683,-0.002767,-0.0279,-0.0232,0.0447,40.207,0.9783,0.9005,3.2147,0.141,80.41,4.022
BAT-2026-RET-082,三元锂(NCM),50.0,50,3.2962,0.015783,0.015065,-0.003415,-0.0315,-0.0233,0.0451,37.184,0.9675,0.8916,3.2322,0.157,74.37,5.732
BAT-2026-RET-083,三元锂(NCM),50.0,50,3.2916,0.016494,0.016188,-0.004067,-0.0293,-0.0094,0.0539,32.802,0.9686,0.8927,3.2167,0.1606,65.6,5.917
BAT-2026-RET-084,三元锂(NCM),50.0,50,3.2959,0.015405,0.014952,-0.003783,-0.0285,-0.0149,0.0523,33.883,0.9749,0.8945,3.2142,0.1643,67.77,6.294
BAT-2026-RET-085,三元锂(NCM),50.0,50,3.319,0.01301,0.013947,-0.003024,-0.025,0.0348,0.0472,41.368,0.9775,0.9128,3.2337,0.1582,82.74,4.184
BAT-2026-RET-086,三元锂(NCM),50.0,50,3.3018,0.014469,0.013828,-0.003188,-0.0228,-0.0227,0.0511,38.191,0.9769,0.9013,3.227,0.1532,76.38,4.103
BAT-2026-RET-087,三元锂(NCM),50.0,50,3.2926,0.015931,0.015336,-0.003199,-0.0321,-0.019,0.0443,36.066,0.9692,0.9077,3.2222,0.1677,72.13,3.875
BAT-2026-RET-088,三元锂(NCM),50.0,50,3.3009,0.014956,0.015682,-0.003096,-0.0265,0.0237,0.0458,34.615,0.9739,0.8979,3.2241,0.1525,69.23,5.098
BAT-2026-RET-089,三元锂(NCM),50.0,50,3.3098,0.014935,0.015067,-0.003398,-0.0322,0.0044,0.0471,37.132,0.9712,0.901,3.2283,0.1502,74.26,6.123
BAT-2026-RET-090,三元锂(NCM),50.0,50,3.2938,0.015136,0.016087,-0.003862,-0.0301,0.0304,0.0495,31.519,0.9664,0.8954,3.2129,0.1519,63.04,5.898
BAT-2026-RET-091,硅碳负极(SiC),4.0,50,3.3279,0.010949,0.011826,-0.002689,-0.0218,0.0385,0.0466,3.532,0.984,0.9102,3.2366,0.1444,88.31,0.3
BAT-2026-RET-092,硅碳负极(SiC),4.0,50,3.3076,0.012562,0.01352,-0.002882,-0.0265,0.0367,0.0477,3.12,0.976,0.9028,3.2068,0.1537,77.99,0.426
BAT-2026-RET-093,硅碳负极(SiC),4.0,50,3.3027,0.013766,0.014608,-0.002858,-0.0268,0.0297,0.046,3.347,0.9793,0.9037,3.2409,0.1383,83.68,0.401
BAT-2026-RET-094,硅碳负极(SiC),4.0,50,3.2923,0.018046,0.017712,-0.003637,-0.0281,-0.0093,0.0518,2.642,0.975,0.896,3.2082,0.1738,66.06,0.393
BAT-2026-RET-095,硅碳负极(SiC),4.0,50,3.3044,0.01487,0.014038,-0.003037,-0.0261,-0.0288,0.05,3.091,0.9776,0.9036,3.2095,0.1398,77.28,0.487
BAT-2026-RET-096,硅碳负极(SiC),4.0,50,3.3152,0.014009,0.014154,-0.003058,-0.0258,0.0052,0.0445,3.19,0.9769,0.8983,3.2134,0.1571,79.74,0.318
BAT-2026-RET-097,硅碳负极(SiC),4.0,50,3.2808,0.015035,0.015721,-0.004128,-0.03,0.0223,0.0466,2.615,0.9744,0.9,3.1967,0.1561,65.38,0.494
BAT-2026-RET-098,硅碳负极(SiC),4.0,50,3.3165,0.012386,0.012709,-0.003174,-0.0278,0.0129,0.0469,3.394,0.9863,0.9148,3.2366,0.1429,84.86,0.417
BAT-2026-RET-099,硅碳负极(SiC),4.0,50,3.3155,0.012473,0.013417,-0.002945,-0.0259,0.0365,0.0463,3.259,0.9775,0.9004,3.2202,0.1343,81.48,0.451
BAT-2026-RET-100,硅碳负极(SiC),4.0,50,3.2868,0.016211,0.01593,-0.003856,-0.0275,-0.0087,0.0448,2.753,0.9719,0.8978,3.2116,0.1583,68.82,0.358
